t,x_x,x_y,x_z,x_vx,x_vy,x_vz,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35
0.05,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.0,0.0,0.0,0.00020146776142109202,0.0,0.0,2.0108470177636504e-05,0.0,0.0,0.0,0.00020146776142109202,0.0,0.0,2.0108470177636504e-05,0.0,0.0,0.0,0.00020146776142109202,0.0,0.0,2.0108470177636504e-05,2.0108470177636504e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0108470177636504e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0108470177636504e-05,0.0,0.0,4e-06
0.055,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.0,0.0,0.0,0.00020164674034632343,0.0,0.0,2.013084254329043e-05,0.0,0.0,0.0,0.00020164674034632343,0.0,0.0,2.013084254329043e-05,0.0,0.0,0.0,0.00020164674034632343,0.0,0.0,2.013084254329043e-05,2.013084254329043e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.013084254329043e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.013084254329043e-05,0.0,0.0,4e-06
0.06,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.0,0.0,0.0,0.00020182571927155482,0.0,0.0,2.0153214908944354e-05,0.0,0.0,0.0,0.00020182571927155482,0.0,0.0,2.0153214908944354e-05,0.0,0.0,0.0,0.00020182571927155482,0.0,0.0,2.0153214908944354e-05,2.0153214908944354e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0153214908944354e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0153214908944354e-05,0.0,0.0,4e-06
0.065,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.0,0.0,0.0,0.00020200469819678623,0.0,0.0,2.0175587274598278e-05,0.0,0.0,0.0,0.00020200469819678623,0.0,0.0,2.0175587274598278e-05,0.0,0.0,0.0,0.00020200469819678623,0.0,0.0,2.0175587274598278e-05,2.0175587274598278e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0175587274598278e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.0175587274598278e-05,0.0,0.0,4e-06
0.07,0.002678457983310091,-0.01729244792809358,-0.0008999999998593466,0.0,0.0,0.0,0.00020218367712201762,0.0,0.0,2.01979596402522e-05,0.0,0.0,0.0,0.00020218367712201762,0.0,0.0,2.01979596402522e-05,0.0,0.0,0.0,0.00020218367712201762,0.0,0.0,2.01979596402522e-05,2.01979596402522e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.01979596402522e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.01979596402522e-05,0.0,0.0,4e-06
0.075,0.002648123282790727,-0.017164625619466592,-0.0008999999998593466,0.0,0.0,0.0,0.00020118622343689684,0.0,0.0,2.009862234368968e-05,0.0,0.0,0.0,0.00020118622343689684,0.0,0.0,2.009862234368968e-05,0.0,0.0,0.0,0.00020118622343689684,0.0,0.0,2.009862234368968e-05,2.009862234368968e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.009862234368968e-05,0.0,0.0,4e-06,0.0,0.0,0.0,2.009862234368968e-05,0.0,0.0,4e-06
0.08,0.002614744430986588,-0.017023976072120653,-0.0008999999998593466,0.0,0.0,0.0,0.00020007071225389603,0.0,0.0,1.9987071225389604e-05,0.0,0.0,0.0,0.00020007071225389603,0.0,0.0,1.9987071225389604e-05,0.0,0.0,0.0,0.00020007071225389603,0.0,0.0,1.9987071225389604e-05,1.9987071225389604e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9987071225389604e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9987071225389604e-05,0.0,0.0,4e-06
0.085,0.002581365579182449,-0.016883326524774714,-0.0008999999998593466,0.0,0.0,0.0,0.00019895520107089524,0.0,0.0,1.9875520107089523e-05,0.0,0.0,0.0,0.00019895520107089524,0.0,0.0,1.9875520107089523e-05,0.0,0.0,0.0,0.00019895520107089524,0.0,0.0,1.9875520107089523e-05,1.9875520107089523e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9875520107089523e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.9875520107089523e-05,0.0,0.0,4e-06
0.09,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00019829556213017674,0.0,0.0,1.981194526627209e-05,0.0,0.0,0.0,0.00019829556213017674,0.0,0.0,1.981194526627209e-05,0.0,0.0,0.0,0.00019829556213017674,0.0,0.0,1.981194526627209e-05,1.981194526627209e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.981194526627209e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.981194526627209e-05,0.0,0.0,4e-06
0.095,0.002558768096510936,-0.016788106781221047,-0.0008999999998593466,0.0,0.0,0.0,0.00019859142011834305,0.0,0.0,1.984892751479288e-05,0.0,0.0,0.0,0.00019859142011834305,0.0,0.0,1.984892751479288e-05,0.0,0.0,0.0,0.00019859142011834305,0.0,0.0,1.984892751479288e-05,1.984892751479288e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.984892751479288e-05,0.0,0.0,4e-06,0.0,0.0,0.0,1.984892751479288e-05,0.0,0.0,4e-06
